--- Session started : 2021-08-23-142029
Algorithm being used is 'Replace Missing Values With Graduations'

Test Record    Best Match     Similarity  Predicted   Calculated  
Number         Record         Measure     Outcome     Outcome     
0              0                  NaN         0          0     
1              0                  NaN         0          0     
2              0                  NaN         1          0     
3              0                  NaN         0          0     
4              0                  NaN         0          0     
5              0                  NaN         1          0     
6              0                  NaN         1          0     
7              0                  NaN         1          0     
8              0                  NaN         0          0     
9              0                  NaN         1          0     
10             0                  NaN         1          0     
11             0                  NaN         0          0     
12             0                  NaN         0          0     
13             0                  NaN         1          0     
14             0                  NaN         0          0     
15             0                  NaN         0          0     
16             0                  NaN         0          0     
17             0                  NaN         0          0     
18             0                  NaN         0          0     
19             0                  NaN         0          0     
20             0                  NaN         0          0     
21             0                  NaN         1          0     
22             0                  NaN         0          0     
23             0                  NaN         0          0     
24             0                  NaN         0          0     
25             0                  NaN         1          0     
26             0                  NaN         0          0     
27             0                  NaN         0          0     
28             0                  NaN         1          0     
29             0                  NaN         1          0     
30             0                  NaN         0          0     
31             0                  NaN         0          0     
32             0                  NaN         1          0     
33             0                  NaN         1          0     
34             0                  NaN         0          0     
35             0                  NaN         0          0     
36             0                  NaN         0          0     
37             0                  NaN         0          0     
38             0                  NaN         1          0     
39             0                  NaN         0          0     
40             0                  NaN         0          0     
41             0                  NaN         1          0     
42             0                  NaN         1          0     
43             0                  NaN         0          0     
44             0                  NaN         0          0     
45             0                  NaN         1          0     
46             0                  NaN         1          0     
47             0                  NaN         0          0     
48             0                  NaN         0          0     
49             0                  NaN         0          0     
50             0                  NaN         1          0     
51             0                  NaN         1          0     
52             0                  NaN         1          0     
53             0                  NaN         0          0     
54             0                  NaN         0          0     
55             0                  NaN         0          0     
56             0                  NaN         0          0     
57             0                  NaN         0          0     
58             0                  NaN         0          0     
59             0                  NaN         0          0     
60             0                  NaN         1          0     
61             0                  NaN         0          0     
62             0                  NaN         0          0     
63             0                  NaN         1          0     
64             0                  NaN         0          0     
65             0                  NaN         0          0     
66             0                  NaN         0          0     
