--- Session started : 2021-08-30-132536
Algorithm being used is 'Replace Missing Values With Modal'

Test Record    Best Match     Similarity  Predicted   Calculated  
Number         Record         Measure     Outcome     Outcome     
0              31                  1          0          0     
1              13                  1          1          0     
2              0                   1          0          0     
3              10                  1          1          0     
4              4                   1          1          0     
5              1                   1          1          0     
6              6                   1          1          0     
7              15                  1          0          0     
8              23                  1          0          0     
9              17                  1          0          0     
10             19                  1          1          0     
11             23                  1          0          0     
12             17                  1          0          0     
13             31                  1          1          0     
14             0                   1          0          0     
15             19                  1          0          0     
16             5                   1          0          0     
17             1                   1          1          0     
18             6                   1          0          0     
19             19                  1          0          0     
20             37                  1          0          0     
21             27                  1          0          0     
22             37                  1          0          0     
23             4                   1          0          0     
24             32                  1          1          0     
25             7                   1          0          0     
26             10                  1          1          0     
27             31                  1          0          0     
28             35                  1          1          0     
29             19                  1          1          0     
30             37                  1          0          0     
31             10                  1          0          0     
32             17                  1          0          0     
33             1                   1          0          0     
34             15                  1          1          0     
35             0                   1          0          0     
36             34                  1          0          1     
37             29                  1          1          0     
38             14                  1          1          0     
39             34                  1          0          1     
40             35                  1          0          0     
41             9                   1          0          0     
42             12                  1          0          1     
43             36                  1          1          1     
44             12                  1          0          1     
45             34                  1          1          1     
46             35                  1          1          0     
47             28                  1          0          0     
48             24                  1          0          0     
49             19                  1          1          0     
50             6                   1          0          0     
51             20                  1          0          0     
52             7                   1          0          0     
53             8                   1          0          1     
54             17                  1          0          0     
55             34                  1          1          1     
56             0                   1          1          0     
57             4                   1          0          0     
58             1                   1          1          0     
59             17                  1          1          0     
60             1                   1          0          0     
61             13                  1          1          0     
62             35                  1          0          0     
63             32                  1          0          0     
64             17                  1          0          0     
65             13                  1          0          0     
66             23                  1          0          0     
67             19                  1          0          0     
68             17                  1          0          0     
69             20                  1          0          0     
70             13                  1          1          0     
71             34                  1          0          1     
72             37                  1          0          0     
73             35                  1          1          0     
74             24                  1          1          0     
75             35                  1          1          0     
76             25                  1          0          1     
77             10                  1          1          0     
78             17                  1          0          0     
79             19                  1          0          0     
80             35                  1          0          0     
81             17                  1          0          0     
82             19                  1          0          0     
83             32                  1          1          0     
84             32                  1          0          0     
85             28                  1          0          0     
86             6                   1          1          0     
87             20                  1          1          0     
88             35                  1          0          0     
89             3                   1          0          0     
90             36                  1          0          1     
91             34                  1          0          1     
92             34                  1          1          1     
93             34                  1          1          1     
94             21                  1          0          0     
95             29                  1          1          0     
96             34                  1          0          1     
97             1                   1          0          0     
98             35                  1          1          0     
99             19                  1          1          0     
100            31                  1          1          0     
101            32                  1          0          0     
102            23                  1          0          0     
103            37                  1          1          0     
104            6                   1          0          0     
105            34                  1          0          1     
106            6                   1          0          0     
107            10                  1          1          0     
108            19                  1          0          0     
109            34                  1          0          1     
110            6                   1          1          0     
111            19                  1          0          0     
112            7                   1          0          0     
113            10                  1          0          0     
114            17                  1          0          0     
115            37                  1          0          0     
116            25                  1          0          1     
117            0                   1          0          0     
118            31                  1          1          0     
119            9                   1          0          0     
120            2                   1          1          0     
121            31                  1          1          0     
122            6                   1          0          0     
123            17                  1          1          0     
124            9                   1          0          0     
125            28                  1          0          0     
126            37                  1          0          0     
127            17                  1          0          0     
128            32                  1          1          0     
129            16                  1          0          0     
130            4                   1          0          0     
131            12                  1          0          1     
132            16                  1          0          0     
133            4                   1          0          0     
134            19                  1          0          0     
135            25                  1          1          1     
136            4                   1          0          0     
137            5                   1          1          0     
138            34                  1          0          1     
139            2                   1          0          0     
140            25                  1          1          1     
141            4                   1          1          0     
142            28                  1          0          0     
143            13                  1          1          0     
144            15                  1          0          0     
145            16                  1          1          0     
146            33                  1          0          0     
147            17                  1          0          0     
148            35                  1          0          0     
149            17                  1          0          0     
150            9                   1          0          0     
151            17                  1          1          0     
152            32                  1          1          0     
153            28                  1          0          0     
154            6                   1          1          0     
155            20                  1          1          0     
156            31                  1          1          0     
157            31                  1          1          0     
158            15                  1          1          0     
159            12                  1          0          1     
160            6                   1          0          0     
161            0                   1          1          0     
162            26                  1          0          1     
163            35                  1          1          0     
164            26                  1          0          1     
165            4                   1          0          0     
166            32                  1          1          0     
167            32                  1          1          0     
168            32                  1          1          0     
169            1                   1          0          0     
170            16                  1          0          0     
171            3                   1          0          0     
172            21                  1          0          0     
173            19                  1          0          0     
174            30                  1          1          1     
175            33                  1          0          0     
176            19                  1          0          0     
177            35                  1          0          0     
178            28                  1          0          0     
179            0                   1          1          0     
180            20                  1          1          0     
181            37                  1          1          0     
182            6                   1          1          0     
183            21                  1          0          0     
184            19                  1          0          0     
185            4                   1          0          0     
186            17                  1          1          0     
187            2                   1          0          0     
188            34                  1          1          1     
189            32                  1          1          0     
190            32                  1          1          0     
191            16                  1          0          0     
192            15                  1          0          0     
193            37                  1          0          0     
194            1                   1          1          0     
195            19                  1          0          0     
196            20                  1          1          0     
197            8                   1          1          1     
198            37                  1          1          0     
199            10                  1          1          0     
200            15                  1          0          0     
201            33                  1          0          0     
202            19                  1          1          0     
203            19                  1          0          0     
204            17                  1          0          0     
205            20                  1          1          0     
206            19                  1          0          0     
207            9                   1          0          0     
208            20                  1          0          0     
209            28                  1          0          0     
210            6                   1          0          0     
211            8                   1          1          1     
212            16                  1          0          0     
213            19                  1          0          0     
214            25                  1          1          1     
215            6                   1          0          0     
216            32                  1          0          0     
217            31                  1          0          0     
218            4                   1          0          0     
219            17                  1          0          0     
220            19                  1          0          0     
221            32                  1          1          0     
222            11                  1          1          1     
223            28                  1          1          0     
224            28                  1          0          0     
225            11                  1          0          1     
226            6                   1          0          0     
227            10                  1          0          0     
228            17                  1          0          0     
229            7                   1          0          0     
230            17                  1          0          0     
231            36                  1          1          1     
232            1                   1          1          0     
233            1                   1          0          0     
234            31                  1          0          0     
235            13                  1          1          0     
236            35                  1          0          0     
237            12                  1          0          1     
238            32                  1          0          0     
239            3                   1          0          0     
240            0                   1          1          0     
241            21                  1          1          0     
242            13                  1          0          0     
243            32                  1          0          0     
244            19                  1          0          0     
245            3                   1          0          0     
246            17                  1          1          0     
247            20                  1          0          0     
248            9                   1          0          0     
249            30                  1          0          1     
250            19                  1          0          0     
251            32                  1          1          0     
252            17                  1          1          0     
253            29                  1          0          0     
254            5                   1          1          0     
255            19                  1          0          0     
256            6                   1          0          0     
257            30                  1          0          1     
258            19                  1          0          0     
259            15                  1          0          0     
260            31                  1          1          0     
261            17                  1          0          0     
262            19                  1          0          0     
263            28                  1          0          0     
264            7                   1          0          0     
265            1                   1          0          0     
266            3                   1          0          0     
267            22                  1          0          0     
268            22                  1          0          0     
269            7                   1          0          0     
270            6                   1          0          0     
271            4                   1          1          0     
272            8                   1          0          1     
273            32                  1          0          0     
274            17                  1          1          0     
275            6                   1          0          0     
276            6                   1          0          0     
277            12                  1          0          1     
278            28                  1          1          0     
279            10                  1          1          0     
280            34                  1          1          1     
281            32                  1          1          0     
282            19                  1          0          0     
283            35                  1          0          0     
284            33                  1          0          0     
285            6                   1          1          0     
286            19                  1          0          0     
287            37                  1          0          0     
288            13                  1          1          0     
289            33                  1          0          0     
290            10                  1          0          0     
291            4                   1          1          0     
292            16                  1          0          0     
293            20                  1          0          0     
294            20                  1          0          0     
295            13                  1          0          0     
296            6                   1          1          0     
297            33                  1          0          0     
298            15                  1          1          0     
299            4                   1          0          0     
300            16                  1          0          0     
301            4                   1          0          0     
302            36                  1          1          1     
303            17                  1          0          0     
304            35                  1          0          0     
305            19                  1          1          0     
306            35                  1          0          0     
307            13                  1          0          0     
308            35                  1          0          0     
309            4                   1          0          0     
310            32                  1          0          0     
311            19                  1          0          0     
312            6                   1          0          0     
313            17                  1          0          0     
314            20                  1          0          0     
315            19                  1          0          0     
316            4                   1          0          0     
317            34                  1          0          1     
318            6                   1          0          0     
319            20                  1          1          0     
320            29                  1          0          0     
321            14                  1          0          0     
322            6                   1          1          0     
323            6                   1          0          0     
324            14                  1          0          0     
325            31                  1          1          0     
326            15                  1          0          0     
327            31                  1          0          0     
328            3                   1          0          0     
329            20                  1          0          0     
330            15                  1          0          0     
331            31                  1          0          0     
332            32                  1          1          0     
333            6                   1          0          0     
334            6                   1          0          0     
335            3                   1          0          0     
336            4                   1          0          0     
337            7                   1          1          0     
338            37                  1          0          0     
339            34                  1          1          1     
340            29                  1          0          0     
341            11                  1          0          1     
342            7                   1          0          0     
343            21                  1          0          0     
344            3                   1          0          0     
345            28                  1          0          0     
346            36                  1          1          1     
347            1                   1          1          0     
348            12                  1          0          1     
349            27                  1          1          0     
350            5                   1          0          0     
351            4                   1          0          0     
352            9                   1          0          0     
353            19                  1          1          0     
354            6                   1          0          0     
355            13                  1          1          0     
356            5                   1          1          0     
357            3                   1          0          0     
358            32                  1          1          0     
359            7                   1          0          0     
360            6                   1          0          0     
361            19                  1          0          0     
362            28                  1          0          0     
363            28                  1          0          0     
364            35                  1          1          0     
365            6                   1          1          0     
366            34                  1          1          1     
367            10                  1          1          0     
368            0                   1          0          0     
369            2                   1          1          0     
370            21                  1          0          0     
